Country,Government_Type,Capital,Mean_Temp,Real_GDP_PPP_billion_USD,Real_GDP_per_Capita_USD,Real_GDP_Growth_Rate_percent,Youth_Unemployment_Rate_percent,Population_Growth_Rate,Median_Age,Total_Literacy_Rate,electricity_access_percent,electricity_capacity_per_capita,internet_users_per_100,broadband_subs_per_100,mobile_subs_per_100,population_density,road_density_per_1000km2,rail_density_per_1000km2,airports_per_million,co2_per_capita_tonnes,co2_per_gdp_tonnes_per_billion,fossil_intensity_index,water_share,coastline_per_1000km2
BULGARIA,Republic,Sofia,13.24,167.8,24400.0,7.63,14.2,0.66,43.7,98.4%,99.0,1.6252825241046227,75.79379167560081,30.97736936518928,115.7448969907448,62.934822885269476,179.85233525979592,37.13740563559439,9.959377456890541,5.565534461203538,0.22646007151370678,0.26498780417653983,0.02155502845444133,3.2630036224870724
BURKINA FASO,Republic,Ouagadougou,29.94,48.17,2200.0,6.91,7.7,2.46,17.9,46%,18.0,0.017430646259885777,21.521512218838563,0.0621589296089141,109.73443343240639,82.13705624543462,55.89481373265157,2.2717311906501094,1.0227164897381962,0.17786373734577324,0.08303923603902844,,0.0014587892049598833,0.0
BURMA,Republic,Rangoon,24.58,216.95,4000.0,-17.91,6.4,0.75,29.2,89.1%,72.0,0.12501230587190582,40.98651010785817,1.187133899771733,117.18086882879821,88.70632494169926,240.24189451391564,7.698452046493692,1.104013740279008,0.5347566554476445,0.14289006683567643,-0.17948408850948672,0.03409806408130327,2.9532920790564154
BURUNDI,Republic,Gitega,20.27,8.85,700.0,1.8,3.4,3.59,17.7,74.7%,10.0,0.007597080047089741,5.728198355505665,0.032135648599189603,58.80515252201786,512.5760124610592,479.82866043613706,,0.5317956032962818,54319.122336691646,80790.9604519774,,0.07725476104922745,0.0
CABO VERDE,Republic,Praia,22.87,3.6,6100.0,6.95,34.3,1.19,26.8,90.8%,95.0,0.3394596134134568,68.38869284866227,4.113091384183831,97.72644854040645,149.73989585916192,334.73840813290354,,707.069536231932,1.6559005532363749,0.2777777777777778,,0.0,239.27597322092734
CAMBODIA,Monarchy,Phnom Penh,28.25,72.24,4400.0,3.03,1.8,1.04,26.4,83.9%,82.0,0.17488349733841407,60.386312554225576,1.383746431953358,117.81126850033849,95.69297226864572,267.75628133586383,3.6370846670254657,0.9472362753604011,0.769629473730326,0.1799557032115172,,0.024967547711768442,2.5097017250658586
CAMEROON,Republic,Yaounde,25.12,100.65,3700.0,3.65,6.6,2.73,18.5,77.1%,65.0,0.058203331513566686,41.213533489081996,2.3977482942840083,74.47110957848975,63.750993209367266,164.13657422098115,2.087960906263883,1.0950455757968647,0.2322823948660016,0.06954793840039741,,0.005742049469964664,0.8504156882655328
CANADA,Democracy,Ottawa,-2.98,1832.0,47900.0,4.54,14.0,0.73,41.8,,100.0,3.9788158581246345,88.14514293215292,39.95665676343915,93.36201281437764,4.2356305438594815,114.6202449725942,5.434866878092248,38.08733948795661,15889196.841601532,334061.135371179,0.1941285438915609,0.08925312504068737,22.22244949060907
CENTRAL AFRICAN REPUBLIC,,Bangui,25.42,4.48,800.0,0.9,11.8,1.77,20.0,37.4%,15.0,0.00684409934174173,10.89652658356249,0.008987383082971376,32.41941793456609,8.912312354731421,38.52426386552463,,6.844099341741729,51330.745063062976,63616.07142857142,,0.0,0.0
CHAD,Republic,N’Djamena,27.41,24.49,1400.0,-1.2,2.4,3.05,16.1,26.8%,11.0,0.004696821520512288,16.519855003181153,,53.98645425876194,14.710264453621347,31.766200762388817,,3.185200801266954,0.05398645425876193,0.040832993058391186,,19314.641744548288,0.0
